FID,objectid,mp_id,name,adresse,anz_stellpl_cs,anz_stellpl_taxi,anzahl_ladepunkte_ac,anzahl_ladepunkte_dc,gaf_ts_vorhanden,gaf_bs_vorhanden,gaf_ls_vorhanden,gaf_ms_vorhanden,ods_vorhanden,bus_vorhanden,tram_vorhanden,u_bahn_vorhanden,s_bahn_vorhanden,radservicestation_vorhanden,radpumpe_vorhanden,bearbeitung_datum,shape
ruhver_mp_standort_point.85,84,503,Rosenheimer Platz,Steinstraße 72,5,Nein,0,0,Ja,Ja,Ja,Ja,Nein,Nein,Ja,Nein,Ja,Nein,Nein,20260312,POINT (693004.6929008684 5333884.44299788)
ruhver_mp_standort_point.86,49,12,"Kolumbusplatz
",Kolumbusstraße 30,7,Nein,0,0,Ja,Ja,Ja,Ja,Nein,Ja,Nein,Ja,Nein,Nein,Nein,20260219,POINT (691728.8453008404 5332887.252597965)
ruhver_mp_standort_point.87,200,409,Herzogstraße,Herzogstraße 142,6,Nein,0,0,Ja,Ja,Ja,Ja,Nein,Nein,Ja,Nein,Nein,Nein,Nein,20260219,POINT (690647.4188008162 5337657.849498027)
ruhver_mp_standort_point.88,139,2501,Willibaldplatz,Willibaldplatz Südseite,5,Nein,0,0,Nein,Nein,Nein,Nein,Nein,Ja,Ja,Nein,Nein,Nein,Nein,20260219,POINT (685173.4754007063 5334909.302098339)
ruhver_mp_standort_point.89,104,301,St. Benno,Kreittmayrstraße 31a,2,Nein,0,0,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Nein,Nein,Nein,Nein,20260312,POINT (689907.6774008012 5336339.056998073)
ruhver_mp_standort_point.90,120,210,Am Glockenbach,Holzstraße 47-49,13,Nein,0,0,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Nein,Nein,Nein,Nein,20260219,POINT (691019.2023008249 5333621.0258980105)
ruhver_mp_standort_point.91,58,1402,Hermann-Weinhauser-Straße,Hermann-Weinhauser-Str,6,Nein,0,0,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Nein,Nein,Nein,Nein,20260219,POINT (695601.6161009276 5334466.035797696)
ruhver_mp_standort_point.92,108,203,Baaderstraße,Baaderstraße 2,3,Nein,0,0,Ja,Ja,Ja,Ja,Nein,Ja,Ja,Nein,Ja,Nein,Nein,20260219,POINT (692091.6553008477 5334378.03049794)
ruhver_mp_standort_point.93,70,1105,Harthof,Parlerstraße/Weyprechtstraße,6,Nein,0,0,Ja,Ja,Ja,Ja,Nein,Ja,Nein,Ja,Nein,Nein,Nein,20260219,POINT (690964.3806008217 5342266.604897998)
ruhver_mp_standort_point.94,117,207,Theresienwiese,Bavariaring 11,5,Nein,0,0,Ja,Ja,Ja,Ja,Nein,Ja,Nein,Ja,Nein,Nein,Nein,20260219,POINT (689810.1428007986 5334538.555398083)
ruhver_mp_standort_point.95,4,4,"Oberanger
",Klosterhofstraße 2 -17,5,Nein,0,0,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Nein,Nein,Nein,Nein,20260219,POINT (691233.1780008298 5334406.903997995)
ruhver_mp_standort_point.96,119,209,Kaiser-Ludwig-Platz,Kaiser-Ludwig-Platz 8,4,Nein,0,0,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Nein,Nein,Nein,Nein,20260219,POINT (690139.6390008065 5334066.9919980625)
ruhver_mp_standort_point.97,13,22,Schießstättstraße,Schießstättstraße 8 - 10,7,Nein,0,0,Ja,Ja,Ja,Ja,Nein,Nein,Ja,Nein,Nein,Nein,Nein,20260219,POINT (689385.4649007902 5334645.423498109)
ruhver_mp_standort_point.98,26,32,Gertrud-Grunow-Straße,"Gertrud-Grunow-Straße 6 - 7
",11,Nein,0,0,Ja,Ja,Ja,Ja,Nein,Ja,Nein,Nein,Nein,Nein,Ja,20260219,POINT (692987.476700867 5339979.332397869)
ruhver_mp_standort_point.99,32,37,Messestadt West,Willy-Brandt-Allee + Olof-Palme-Straße,6,Nein,0,0,Ja,Ja,Nein,Nein,Nein,Ja,Nein,Ja,Nein,Nein,Nein,20260219,POINT (700112.5558010379 5334611.405397329)
ruhver_mp_standort_point.100,10,205,Goetheplatz,Waltherstraße 33 / Häberlstraße 6,6,Nein,0,0,Ja,Ja,Ja,Ja,Nein,Ja,Nein,Ja,Nein,Nein,Ja,20260219,POINT (690355.5325008102 5333819.31189805)
ruhver_mp_standort_point.101,1,3,"Maximiliansplatz
","Maximiliansplatz 12a, 12b",4,Nein,0,0,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Ja,Nein,Nein,Nein,20260219,POINT (691435.5404008338 5335337.621797981)
ruhver_mp_standort_point.102,31,38,Friedenspromenade,"Hugo-Weiss-Straße 1
",4,Nein,0,0,Ja,Ja,Ja,Ja,Nein,Ja,Nein,Nein,Nein,Nein,Nein,20260219,POINT (699230.6392010162 5332296.34189741)
ruhver_mp_standort_point.103,118,208,Hauptbahnhof Süd,Goethestraße,7,Nein,0,0,Ja,Ja,Ja,Ja,Nein,Ja,Ja,Ja,Ja,Nein,Nein,20260219,POINT (690347.2547008109 5334903.014898051)
ruhver_mp_standort_point.104,169,1002,Moosach Bahnhof,Bunzlauer Straße 12,9,Nein,0,0,Ja,Ja,Ja,Ja,Nein,Ja,Ja,Ja,Ja,Nein,Nein,20260219,POINT (686379.9035007289 5339368.04739827)
ruhver_mp_standort_point.105,113,1107,Neuherbergstraße,Neuherbergstraße 110,6,Nein,0,0,Ja,Ja,Ja,Ja,Nein,Ja,Nein,Nein,Nein,Nein,Nein,20260219,POINT (690567.915700813 5342716.611898021)
ruhver_mp_standort_point.106,39,56,"Pasinger Marienplatz
",Pasinger Marienplatz,4,Nein,0,0,Ja,Ja,Nein,Nein,Nein,Ja,Ja,Nein,Nein,Nein,Nein,20260219,POINT (682974.8219006653 5335535.507898444)
ruhver_mp_standort_point.107,116,206,Stephansplatz,Thalkirchnerstraße 26,6,Nein,0,0,Ja,Ja,Ja,Ja,Nein,Ja,Nein,Nein,Nein,Nein,Nein,20260219,POINT (690940.6951008232 5334018.462398015)
ruhver_mp_standort_point.108,81,1308,Fritz-Meyer-Weg,Fritz-Meyer-Weg,7,Nein,0,0,Ja,Ja,Ja,Ja,Nein,Ja,Ja,Nein,Nein,Nein,Nein,20260219,POINT (695991.5803009351 5338807.804697654)
ruhver_mp_standort_point.109,48,16,"Nestroystraße
",Nestroystraße 5,5,Nein,0,0,Ja,Ja,Ja,Ja,Nein,Ja,Nein,Nein,Nein,Nein,Nein,20260219,POINT (688632.3120007749 5332884.742298156)
ruhver_mp_standort_point.110,22,24,Hirschbergstraße,Hirschbergstraße 12,4,Nein,0,0,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Nein,Nein,Nein,Nein,20260219,POINT (688474.8992007712 5335942.07869816)
ruhver_mp_standort_point.111,97,307,Schleißheimer Straße,Schleißheimerstraße 47,6,Nein,0,0,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Nein,Nein,Nein,Nein,20260219,POINT (690468.7168008122 5336628.979098039)
ruhver_mp_standort_point.112,55,50,Kesselbergstraße,Walchenseeplatz 1,2,Nein,0,0,Ja,Ja,Nein,Ja,Nein,Nein,Nein,Nein,Nein,Nein,Nein,20260219,POINT (692288.1330008531 5332081.375797932)
ruhver_mp_standort_point.113,54,25,Schluderstraße,Schluderstraße 20 ggü,4,Nein,0,0,Ja,Ja,Ja,Ja,Nein,Ja,Nein,Nein,Nein,Nein,Nein,20260219,POINT (688088.7965007636 5336073.797998182)
ruhver_mp_standort_point.114,142,2504,Agnes-Bernauer-Straße,Friedenheimerstraße 27 (ggü),4,Nein,0,0,Ja,Ja,Ja,Ja,Nein,Ja,Ja,Nein,Nein,Nein,Nein,20260219,POINT (686796.1325007381 5334854.779798254)
ruhver_mp_standort_point.115,147,602,Brudermühlstraße,Thalkirchener Straße 143-145,4,Nein,0,0,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Ja,Nein,Nein,Nein,20260219,POINT (689687.9171007973 5331841.696398096)
ruhver_mp_standort_point.116,61,1801,Schyrenbad,Schyrenstraße 8,6,Nein,0,0,Ja,Ja,Ja,Ja,Nein,Ja,Nein,Nein,Nein,Nein,Nein,20260219,POINT (691277.3087008306 5332891.585497995)
