FID,objectid,mp_id,name,adresse,anz_stellpl_cs,anz_stellpl_taxi,anzahl_ladepunkte_ac,anzahl_ladepunkte_dc,gaf_ts_vorhanden,gaf_bs_vorhanden,gaf_ls_vorhanden,gaf_ms_vorhanden,ods_vorhanden,bus_vorhanden,tram_vorhanden,u_bahn_vorhanden,s_bahn_vorhanden,radservicestation_vorhanden,radpumpe_vorhanden,bearbeitung_datum,shape
ruhver_mp_standort_point.45,17,18,Ganghoferstraße,Ganghoferstraße 1,7,Nein,0,0,Ja,Ja,Nein,Ja,Nein,Nein,Ja,Nein,Nein,Nein,Nein,20260225,POINT (689018.8120007825 5334771.769498129)
ruhver_mp_standort_point.46,18,20,Hans-Fischer-Straße,Hans-Fischer-Str. 9,4,Nein,0,0,Ja,Ja,Ja,Ja,Nein,Ja,Nein,Nein,Nein,Nein,Nein,20260225,POINT (689322.3845007888 5333632.318798115)
ruhver_mp_standort_point.47,24,30,Karl-Weinmair-Straße,"Karl-Weinmair-Str. 10, 11, 14",7,Nein,0,0,Nein,Nein,Nein,Nein,Nein,Nein,Ja,Nein,Nein,Nein,Ja,20260225,POINT (692410.076100854 5339513.863797908)
ruhver_mp_standort_point.48,123,2001,Großhadern,Würmtalstraße 142,4,Nein,0,0,Ja,Ja,Ja,Ja,Nein,Ja,Nein,Ja,Nein,Nein,Nein,20260219,POINT (684254.3376006896 5332102.568898389)
ruhver_mp_standort_point.49,68,1808,Mangfallplatz,Mangfallplatz,5,Nein,0,0,Ja,Ja,Ja,Ja,Nein,Ja,Nein,Ja,Nein,Nein,Nein,20260219,POINT (692171.3012008503 5330335.1913979435)
ruhver_mp_standort_point.50,168,1909,Obersendling,August-Zeune-Weg 4,5,Nein,0,0,Ja,Ja,Ja,Ja,Ja,Ja,Nein,Ja,Nein,Nein,Ja,20260219,POINT (688883.2917007805 5330383.6661981465)
ruhver_mp_standort_point.51,77,1304,Prinzregentenstadion,Prinzregentenplatz 6,8,Nein,0,0,Ja,Ja,Ja,Ja,Nein,Ja,Nein,Ja,Nein,Nein,Nein,20260219,POINT (693725.4326008841 5335098.560397829)
ruhver_mp_standort_point.52,149,603,Mittersendling Ost,Leipartstraße 20,5,Nein,0,0,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Nein,Ja,Nein,Nein,20260219,POINT (688841.5007007793 5331459.568198145)
ruhver_mp_standort_point.53,51,11,"Falkenstraße
",Falkenstraße 7 / 8a,5,Nein,0,0,Ja,Ja,Nein,Ja,Nein,Ja,Ja,Nein,Nein,Nein,Nein,20260302,POINT (691990.081100846 5333225.9477979485)
ruhver_mp_standort_point.54,201,1404,Josephsburg,Josephburgstraße 41,5,Nein,0,0,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Ja,Nein,Nein,Nein,20260302,POINT (695876.3998009339 5333692.922697676)
ruhver_mp_standort_point.55,135,401,Hohenzollernplatz,Hohenzollernstraße 99,8,Nein,0,0,Nein,Nein,Nein,Nein,Nein,Ja,Ja,Ja,Nein,Nein,Nein,20260302,POINT (690923.4815008218 5337390.24959801)
ruhver_mp_standort_point.56,40,59,"Neuaubing
",Bodenseestraße 238,3,Nein,0,0,Ja,Ja,Ja,Ja,Nein,Ja,Nein,Nein,Ja,Nein,Nein,20260219,POINT (680264.1736006179 5335020.662498565)
ruhver_mp_standort_point.57,6,5,Pacellistraße,Pacellistraße 5,6,Nein,0,0,Ja,Ja,Ja,Ja,Nein,Nein,Ja,Ja,Nein,Nein,Nein,20260302,POINT (691218.6932008285 5335116.430197993)
ruhver_mp_standort_point.58,109,204,Ickstattstraße,Ickstattstraße 4,4,Nein,0,0,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Nein,Nein,Nein,Nein,20260219,POINT (691228.0350008293 5333961.708097997)
ruhver_mp_standort_point.59,95,305,Tengstraße,Tengstraße 3,7,Nein,0,0,Ja,Ja,Ja,Ja,Nein,Ja,Nein,Ja,Nein,Nein,Nein,20260219,POINT (690985.4737008236 5336652.179398008)
ruhver_mp_standort_point.60,111,1102,Curt-Mezger-Platz,Schleißheimerstraße 336,4,Nein,0,0,Ja,Ja,Nein,Ja,Nein,Ja,Nein,Nein,Nein,Nein,Nein,20260219,POINT (690799.7162008185 5339710.8793980125)
